age,income,account_balance,transaction_count,gender,occupation,region
39.8,65512.66,31188.6,27,F,engineer,west
32.8,75606.46,18707.66,15,M,engineer,north
42.1,30674.27,54141.09,19,F,manager,south
39.7,54465.91,12229.15,14,M,doctor,east
34.3,63207.13,14168.12,14,F,engineer,west
26.5,46230.36,27335.95,11,F,teacher,west
19.9,85967.54,46168.03,16,M,teacher,east
30.5,50468.85,16638.05,13,F,manager,south
43.6,59380.61,22341.72,15,F,engineer,west
37.1,68340.33,35772.94,17,F,doctor,east
22.5,51130.73,24821.38,20,M,doctor,east
36.7,32301.4,21653.96,11,M,manager,south
38.9,53570.18,30656.33,21,M,student,south
26.2,75441.61,27725.18,14,F,teacher,south
36.5,54946.57,35304.39,18,F,teacher,south
35.6,47303.49,37914.69,16,F,engineer,south
23.6,73885.08,28070.03,22,M,teacher,west
38.6,55038.38,27917.33,19,M,engineer,south
40.6,52347.59,27141.11,13,M,manager,south
45.8,62241.84,29891.31,15,F,manager,south
45.5,71561.25,25551.71,12,M,teacher,east
21.2,95725.7,24993.92,22,M,engineer,west
25.6,72408.54,36966.27,9,F,engineer,east
40.2,77397.6,40161.16,16,M,student,west
40.1,52410.51,9924.47,20,F,student,west
40.2,44611.98,25100.21,16,F,engineer,west
73.5,60934.97,18113.06,20,M,doctor,north
40.7,61607.55,21890.29,22,M,engineer,south
46.4,43822.31,29025.16,17,F,engineer,south
44.5,57370.58,31694.38,18,M,engineer,south
41.5,65989.76,23878.74,13,F,doctor,east
31.8,65405.9,5866.6,10,M,engineer,south
42.6,67564.32,15349.54,13,M,engineer,east
27.3,64364.47,33965.0,13,F,engineer,south
32.6,52394.87,-2404.26,8,F,teacher,south
30.1,52291.49,36874.27,20,M,manager,south
35.8,42015.73,30212.3,18,M,engineer,west
58.1,86771.63,38161.76,16,F,student,east
16.3,60201.76,23014.31,13,M,engineer,west
41.9,56627.2,4385.95,18,M,teacher,west
18.9,46068.12,29303.63,18,M,engineer,south
30.3,104034.87,37746.53,9,F,engineer,north
45.9,43900.08,34247.22,16,M,engineer,east
35.6,53567.28,18373.09,18,M,engineer,east
24.2,66237.55,25867.61,10,M,student,south
27.8,69003.19,19671.64,13,F,manager,north
41.8,74368.98,16807.34,18,F,student,east
27.7,87114.13,34553.89,11,M,engineer,south
37.2,67592.36,13024.68,15,F,teacher,west
35.5,44159.54,16061.84,21,F,engineer,east
28.5,56145.82,13959.74,17,M,manager,south
56.4,64617.49,10097.52,7,M,student,north
41.3,91023.39,26464.14,18,F,manager,east
14.7,39032.92,36615.03,16,M,engineer,east
36.9,78038.65,23151.23,18,M,teacher,east
28.4,62698.72,9942.52,12,M,engineer,east
43.5,72567.46,33399.45,11,M,engineer,east
27.1,58470.08,41857.02,11,F,engineer,south
33.9,47363.51,18537.58,17,F,engineer,west
40.0,71263.09,20214.46,14,M,teacher,south
43.7,69816.47,30156.61,21,M,teacher,north
23.0,74580.85,41218.74,14,F,teacher,south
31.7,59800.43,19801.66,11,M,manager,north
30.3,51002.67,11675.5,14,M,engineer,south
28.5,36618.2,31314.19,12,M,engineer,east
52.7,72290.6,32990.68,15,F,doctor,north
39.0,66358.34,25061.31,16,M,doctor,west
22.4,45513.26,19418.67,12,M,engineer,east
44.2,51921.39,34943.79,17,M,student,south
56.2,52998.62,30280.36,15,M,teacher,south
45.3,37755.23,17315.64,14,M,teacher,south
19.8,47734.76,25490.95,20,F,teacher,north
30.2,42992.54,11482.92,27,M,teacher,north
47.7,53812.81,31858.9,16,F,doctor,north
27.9,48919.54,22377.66,15,F,teacher,south
39.4,35594.93,20642.89,11,M,engineer,north
42.7,90338.85,24671.26,20,M,student,north
25.7,78788.11,25403.08,17,M,teacher,west
34.4,48314.71,33949.3,11,M,manager,south
2.6,64086.32,30910.91,17,M,teacher,east
24.8,66261.98,23435.91,20,M,teacher,north
32.5,77866.29,32636.68,9,M,engineer,north
22.5,47720.92,29007.37,14,M,manager,east
51.3,76381.6,20734.0,19,M,manager,north
20.7,51781.42,23752.82,7,M,engineer,north
30.6,39962.06,23517.77,6,F,engineer,east
36.3,70862.05,30052.61,18,M,student,north
49.4,79361.38,21329.77,17,M,student,south
20.6,98818.63,21095.91,12,M,doctor,south
46.6,42004.12,44687.57,17,F,teacher,south
35.1,70483.8,34397.35,13,F,manager,north
25.2,53852.98,17393.99,14,F,engineer,west
39.6,71750.38,30709.41,8,M,manager,east
37.0,37942.66,26183.5,13,F,teacher,east
29.0,41058.45,28915.51,15,M,manager,east
35.7,48361.88,26373.41,14,M,engineer,east
31.1,61184.46,36896.43,21,F,doctor,east
36.1,50383.78,28456.2,15,M,doctor,east
41.6,69885.82,24379.11,15,F,manager,south
50.9,75403.42,35421.91,12,F,manager,south
22.6,68993.66,27332.85,10,F,student,west
56.3,84281.81,26214.79,18,M,student,west
15.5,66237.4,28140.23,15,M,teacher,north
33.5,41746.55,24063.91,15,M,engineer,east
40.9,80450.65,25092.27,14,M,doctor,east
37.8,50922.66,19133.05,15,F,student,north
28.8,73656.28,17488.33,17,M,engineer,west
32.9,83606.01,15014.3,14,F,doctor,east
30.1,66850.32,11080.17,15,M,engineer,east
29.1,37557.62,16202.83,21,F,engineer,north
43.5,46226.82,23257.33,25,F,manager,south
38.6,79841.17,26031.18,7,M,manager,north
28.1,57463.16,22287.03,11,F,doctor,south
44.0,61193.6,1442.97,17,M,student,south
38.1,71382.37,40745.86,21,M,engineer,west
43.1,70444.84,35864.8,13,F,engineer,east
41.3,64182.0,29457.6,14,M,student,north
26.7,56869.97,44074.91,18,F,doctor,north
29.4,55309.97,15226.36,17,M,engineer,east
42.5,72868.48,43876.25,14,F,manager,south
41.1,68303.54,15347.86,13,F,student,west
34.8,56140.5,27387.38,9,M,manager,east
36.2,76231.68,12261.63,12,M,manager,west
47.8,58064.49,25146.94,16,F,engineer,north
29.1,47225.07,28861.66,14,M,engineer,east
40.5,48615.44,23453.1,21,F,student,north
33.0,45318.89,32138.77,9,M,doctor,east
32.8,55913.85,25990.14,15,F,engineer,south
46.0,78505.86,19775.85,16,M,doctor,east
43.3,47923.57,19331.87,18,F,manager,north
43.1,62827.14,33109.14,20,M,engineer,south
48.1,50149.66,18462.58,23,M,manager,north
35.2,56095.36,34154.03,15,F,engineer,north
41.8,37349.38,37227.12,12,F,teacher,east
31.9,56691.93,8312.86,16,F,manager,west
38.2,57094.42,36329.26,16,F,engineer,east
33.7,68104.32,45604.23,21,F,engineer,south
36.0,63349.21,27520.04,15,F,student,north
41.0,42024.12,30990.84,13,M,manager,north
26.8,76262.97,35370.05,15,M,teacher,north
55.9,63154.55,22245.18,23,F,engineer,west
24.9,62975.9,26822.8,15,M,teacher,south
22.9,59862.26,11858.0,12,F,doctor,west
46.6,52233.64,26386.35,22,M,engineer,east
42.9,63267.04,29981.12,19,F,teacher,east
41.2,67133.83,30161.63,13,F,teacher,west
41.3,33796.56,35654.25,15,M,teacher,north
34.9,51918.59,17251.98,17,F,engineer,south
26.0,56175.8,19673.93,10,M,engineer,west
35.8,63842.56,43955.07,14,M,student,east
28.2,77899.67,23496.72,12,M,student,north
44.8,48423.89,27000.34,24,M,teacher,north
33.5,52530.57,24329.9,18,M,manager,east
26.7,52311.99,16783.19,13,M,manager,north
31.8,47977.09,41235.29,17,M,engineer,west
39.1,54792.2,19722.99,17,M,engineer,north
29.4,71562.03,13727.14,13,M,teacher,east
26.8,44192.47,20492.6,12,M,doctor,east
37.4,66417.22,4982.94,10,F,doctor,east
37.4,34471.47,18487.13,15,M,student,south
29.9,51579.93,15318.71,23,M,manager,west
30.3,55057.66,31174.29,18,F,student,east
37.3,85122.9,18265.86,16,F,student,east
20.5,55877.97,33878.04,16,F,manager,north
20.9,26981.35,38984.84,10,F,teacher,north
27.8,30016.67,32811.75,17,M,engineer,north
32.9,60510.44,22846.12,12,M,doctor,north
38.1,69206.56,26411.14,22,M,manager,east
49.8,65631.84,9750.15,11,F,teacher,south
43.6,62513.55,23662.21,10,F,manager,east
33.4,77433.89,16395.62,9,M,student,north
34.8,51906.13,31943.26,13,F,doctor,south
25.0,73423.66,50727.52,15,M,teacher,west
34.8,35519.78,29998.22,17,F,manager,west
32.1,46425.78,5088.6,13,F,engineer,west
38.2,32894.38,21387.7,13,M,engineer,west
26.7,55877.32,26224.91,16,M,manager,east
40.2,59306.08,25873.57,24,M,manager,west
50.3,61711.52,17691.87,12,F,teacher,east
33.9,60928.25,27452.92,12,F,student,west
39.0,46086.7,12574.99,19,M,teacher,north
41.9,57146.39,15550.91,13,M,doctor,west
31.0,37538.3,31457.98,9,M,doctor,east
37.2,80448.43,14843.37,14,F,engineer,north
35.1,55445.61,30382.12,12,F,engineer,north
36.0,52666.71,11305.36,15,M,student,west
27.3,83834.1,42648.26,16,M,engineer,east
35.2,41366.3,17257.3,14,M,engineer,west
40.0,43116.19,22763.33,15,F,teacher,north
49.5,43556.7,28306.13,10,F,engineer,south
44.6,58981.93,19346.5,18,M,student,south
56.5,66474.47,26434.06,16,F,engineer,east
27.3,71095.13,30753.57,13,M,doctor,east
43.7,98579.93,34606.13,16,M,teacher,east
36.8,26258.51,32914.97,9,M,manager,north
56.9,69131.03,23281.9,21,F,doctor,north
26.9,51643.04,23533.68,20,M,teacher,north
26.6,51203.77,48491.09,13,M,student,west
29.0,50703.42,34498.89,14,F,engineer,south
13.8,46368.45,15781.76,16,M,doctor,south
29.7,85267.87,25999.88,9,M,student,south
27.4,72634.46,21648.57,6,M,manager,west
36.5,60347.94,23646.66,14,M,manager,north
38.4,80265.24,12705.05,18,F,engineer,north
53.8,37312.07,20880.77,13,F,engineer,east
44.5,40039.42,43115.56,15,M,engineer,west
29.2,27330.48,30790.76,25,F,student,east
26.0,49508.78,88.39,17,F,student,south
39.9,62425.48,37167.23,14,F,teacher,east
21.8,61542.88,35896.3,10,F,engineer,west
53.3,62240.13,21407.15,13,F,engineer,east
46.8,38834.15,32172.64,16,F,teacher,south
30.3,72047.32,16406.01,13,F,teacher,south
17.9,63594.41,20297.44,13,F,manager,west
48.5,70995.81,39985.46,15,M,student,east
33.9,31608.57,22282.7,10,M,manager,east
47.4,64672.36,6302.68,11,M,doctor,north
19.1,42183.52,24366.97,19,M,manager,east
29.0,54040.15,24214.12,18,M,manager,south
35.1,68015.47,36983.69,16,M,teacher,north
35.5,61366.4,25143.36,21,M,teacher,west
30.5,47226.9,20784.18,11,M,engineer,south
41.2,60094.1,35450.56,17,F,manager,south
24.3,37026.97,26207.9,13,M,student,west
33.6,77254.01,17499.77,15,M,doctor,north
36.2,56920.74,36549.98,16,F,student,east
40.1,76778.25,26936.62,12,F,engineer,east
42.1,52102.02,25029.26,21,M,manager,west
23.8,52146.36,26779.08,14,M,student,west
19.7,48537.2,14293.32,22,M,doctor,east
47.8,73142.61,19723.46,12,F,student,south
38.3,49358.53,25035.83,14,M,doctor,south
27.5,69668.93,23053.36,14,F,engineer,west
50.5,54263.21,37724.28,15,M,engineer,north
36.2,30360.55,27174.06,19,F,doctor,east
46.8,51445.29,33549.04,10,F,student,south
35.7,42313.38,25093.95,19,F,engineer,north
55.6,60508.54,35562.88,17,M,doctor,north
52.6,42143.88,28975.28,12,M,manager,north
32.5,73889.63,25134.2,8,F,engineer,west
44.7,58633.86,24867.17,11,F,engineer,west
41.5,57336.06,15455.61,15,F,teacher,east
48.7,69838.38,30069.16,17,M,engineer,east
25.4,74458.6,24597.95,18,F,engineer,east
41.9,59698.52,19980.08,16,M,engineer,west
45.6,48432.0,36064.62,14,M,engineer,west
17.4,33390.46,12497.84,23,F,doctor,north
23.2,49709.25,20775.04,21,F,manager,south
14.6,50741.82,35277.19,13,M,manager,east
32.3,61605.86,28155.23,16,M,doctor,west
42.2,54822.8,24521.41,20,M,student,east
50.0,70318.99,27510.04,17,F,student,west
35.7,50805.25,26794.14,22,M,student,west
51.3,59144.38,9833.37,15,M,teacher,east
21.2,77759.81,21507.38,16,F,student,west
18.0,65127.38,41165.22,13,M,manager,south
34.4,59099.44,18406.76,8,F,teacher,south
38.8,50970.83,21816.99,25,F,engineer,east
34.7,50501.53,19583.79,16,F,manager,north
14.3,47240.8,24129.85,17,F,engineer,south
34.1,51884.9,19168.77,12,F,engineer,east
22.0,71334.99,29867.42,13,F,doctor,south
41.7,56671.68,26973.13,19,F,manager,west
38.7,39753.4,32735.48,7,F,student,west
25.6,86522.54,14490.59,12,F,doctor,east
29.9,64799.48,21596.6,18,M,manager,east
24.4,38895.85,22742.77,19,F,teacher,east
34.4,53372.27,29556.47,15,M,manager,south
44.6,61663.3,17067.79,17,M,teacher,north
25.1,85568.88,34156.54,22,F,student,east
40.0,43378.31,36864.16,15,F,teacher,east
29.7,74640.61,15111.28,8,F,teacher,north
27.1,80992.3,20091.27,12,M,teacher,west
33.9,50570.19,19680.68,12,F,manager,east
24.6,55837.3,51323.86,14,M,student,north
29.5,44455.36,20701.0,12,M,teacher,east
23.0,56948.08,41776.25,17,M,teacher,north
54.6,59451.15,12333.68,13,F,manager,south
35.4,69894.75,15103.49,14,F,student,west
28.0,76352.75,18133.95,14,M,teacher,west
37.1,48778.56,16543.11,6,M,engineer,south
33.9,30490.12,22321.01,14,M,teacher,west
32.8,59681.33,17912.22,20,M,doctor,north
41.1,64403.06,16806.58,13,F,teacher,north
42.6,63741.27,36584.72,22,F,engineer,north
29.7,55099.9,37237.94,15,M,engineer,north
29.2,61871.28,34492.96,11,M,manager,south
32.2,82731.67,30239.99,17,M,student,west
12.0,65726.01,25927.43,17,F,student,north
19.8,54399.47,20029.69,13,F,manager,south
48.7,52497.03,15468.42,15,M,manager,east
51.4,57452.21,28629.96,7,F,engineer,south
32.5,84551.1,13263.7,15,F,doctor,east
40.8,57250.49,15060.79,20,M,engineer,south
38.1,59703.08,36529.13,16,F,manager,north
65.8,52765.3,44006.49,11,F,student,east
46.2,76484.75,28932.95,12,F,student,north
33.7,89397.56,36064.57,19,F,doctor,south
25.4,66759.2,22541.52,18,F,manager,south
18.9,61241.59,11623.26,12,F,student,south
37.0,60551.74,31121.72,16,M,engineer,east
27.4,24235.4,30692.89,17,M,manager,south
20.8,71177.26,25716.69,12,M,engineer,east
28.5,62012.5,22576.25,18,F,student,east
24.2,66425.13,34622.11,19,F,engineer,south
51.9,49328.07,15142.67,12,F,engineer,west
43.8,54233.15,17262.19,19,M,manager,west
34.9,53834.63,14918.93,12,M,engineer,east
49.8,75324.34,25849.73,16,F,engineer,north
35.8,54318.6,14121.07,15,F,doctor,south
26.4,91239.9,18157.58,19,F,manager,north
50.2,66462.94,17942.44,19,F,engineer,south
40.4,40864.76,22393.92,19,F,manager,north
24.6,58071.81,10126.26,14,M,manager,east
33.1,50224.87,25872.05,16,M,doctor,north
26.2,27084.26,37473.04,15,F,doctor,west
21.2,83992.06,26354.91,7,M,engineer,north
44.3,70547.14,40413.21,16,F,teacher,east
54.1,67998.11,38339.98,15,M,engineer,west
21.0,62481.05,32777.35,14,F,engineer,north
40.6,39269.74,25746.86,19,F,teacher,west
28.5,52745.74,25225.0,12,F,teacher,south
30.1,72626.71,32638.0,20,F,manager,west
29.1,44231.7,21083.29,12,M,doctor,west
26.4,22023.46,6174.79,17,F,student,north
35.5,56593.41,29920.04,21,F,engineer,west
26.7,57873.64,13689.31,14,F,engineer,north
37.7,62033.45,15378.59,15,F,doctor,north
34.5,70927.78,25002.24,13,M,engineer,north
32.6,69564.09,24048.75,17,M,manager,north
25.9,63881.55,10879.24,20,M,doctor,east
29.2,77932.97,26654.92,20,F,teacher,south
42.6,37215.45,34661.4,17,M,teacher,east
40.0,67568.73,13716.58,16,F,teacher,south
25.2,69398.08,37724.83,13,M,teacher,west
36.0,41406.57,9398.29,15,M,engineer,north
42.5,37456.94,46173.24,13,F,engineer,north
18.3,48810.87,20887.4,13,M,doctor,east
40.4,50076.88,26456.17,18,F,engineer,west
28.4,71301.29,6079.66,16,M,manager,east
40.7,50781.92,24378.64,14,F,engineer,south
27.4,47154.77,27284.82,12,F,engineer,south
17.0,50825.49,24138.38,10,F,engineer,north
18.7,76779.49,19369.19,16,F,teacher,east
35.5,60195.65,15534.35,11,M,engineer,south
37.6,57311.23,36305.27,18,F,engineer,south
26.0,58349.92,25308.07,19,M,teacher,east
41.4,79380.91,40407.52,18,F,teacher,east
18.4,48762.42,19735.18,14,F,manager,east
34.3,79732.62,20652.05,20,F,manager,south
22.9,63157.44,33155.94,14,F,engineer,east
28.5,57593.71,8770.25,23,M,engineer,north
35.5,97513.51,12865.37,12,M,doctor,north
26.4,44165.41,35974.85,12,F,manager,east
31.2,54694.71,13280.66,14,M,student,east
45.1,41513.53,6809.49,14,M,engineer,east
29.2,74286.93,43685.27,10,F,teacher,north
43.4,85337.83,11061.82,22,M,manager,west
23.7,85048.84,26841.19,9,F,manager,north
40.3,78359.23,25690.85,19,F,engineer,west
49.4,57035.69,-3106.28,14,M,manager,south
10.3,54521.39,22326.83,16,M,engineer,north
27.0,34932.45,29484.13,13,F,engineer,south
40.8,90538.1,28543.09,16,F,teacher,north
33.0,67034.67,34035.21,12,F,engineer,south
38.7,52620.65,21125.09,16,M,manager,west
29.0,79920.85,32125.04,22,F,manager,south
35.9,45408.53,18106.71,22,F,manager,east
33.4,66099.33,10895.33,13,F,teacher,west
46.7,57410.56,12022.72,12,F,engineer,east
37.5,69580.16,10378.9,9,F,engineer,south
38.4,59046.4,35095.86,19,M,teacher,west
30.9,38236.08,9854.26,18,M,manager,north
30.1,61133.65,27740.39,23,M,teacher,east
30.7,75732.96,22340.76,14,M,doctor,east
38.9,59561.75,23973.51,22,M,doctor,north
30.8,71626.73,38636.07,17,F,engineer,east
37.9,44317.06,20615.73,11,M,doctor,south
55.8,59606.09,31116.02,16,F,teacher,north
43.7,50632.34,25375.63,16,M,manager,south
31.7,71204.71,23479.81,21,M,manager,west
47.0,60472.37,47999.69,14,F,engineer,west
30.9,70351.11,10586.58,16,M,teacher,north
14.6,76315.66,37891.32,22,M,manager,north
24.9,70374.28,31564.07,15,F,engineer,south
16.3,64096.78,20204.75,8,M,manager,east
31.5,45026.82,41293.19,21,M,engineer,west
35.2,59958.21,6518.9,15,M,doctor,west
51.8,52003.64,19782.33,16,F,student,east
38.3,54839.04,12915.18,12,M,doctor,east
32.8,54381.99,29120.83,11,M,teacher,north
43.3,45301.12,13869.36,11,F,engineer,north
12.9,30639.92,29330.64,12,M,engineer,east
37.4,49977.85,23135.64,11,F,doctor,east
42.7,62900.69,20206.46,9,F,teacher,west
20.2,39777.34,28886.47,15,F,teacher,south
46.4,60235.23,22313.78,17,F,student,north
38.4,88504.03,14113.65,16,M,teacher,south
30.8,75345.85,53013.73,10,M,doctor,west
41.3,84653.12,20128.33,14,F,doctor,east
57.7,65866.92,2823.91,15,M,doctor,north
36.8,77512.65,16579.01,13,M,teacher,west
37.5,49140.53,12327.23,12,M,teacher,south
30.4,50334.9,33261.46,15,F,student,south
26.5,18912.9,28216.53,14,M,teacher,south
43.3,77792.18,28987.13,11,F,doctor,east
26.4,83104.86,21299.78,14,F,manager,east
35.7,51702.34,22206.5,16,M,engineer,east
30.2,56190.72,21290.69,11,M,manager,east
