age,income,account_balance,transaction_count,gender,occupation,region,timestamp
33.9,41138.12,49182.58,8,M,engineer,east,2026-05-22 04:37:58.416996
21.8,50659.5,13051.82,17,M,doctor,east,2026-05-22 04:37:58.416996
28.5,74410.43,51592.34,9,F,engineer,south,2026-05-22 04:37:58.416996
61.7,51017.07,22161.83,10,F,student,north,2026-05-22 04:37:58.416996
48.0,47003.79,14409.19,12,F,manager,south,2026-05-22 04:37:58.416996
54.0,49966.93,18447.51,7,F,doctor,east,2026-05-22 04:37:58.416996
56.0,50452.74,17158.66,7,M,doctor,east,2026-05-22 04:37:58.416996
34.5,37158.42,38821.48,7,M,engineer,east,2026-05-22 04:37:58.416996
37.5,85192.45,37814.05,14,F,student,south,2026-05-22 04:37:58.416996
40.0,45112.26,37671.62,13,M,student,south,2026-05-22 04:37:58.416996
47.0,69118.97,6407.05,11,F,teacher,north,2026-05-22 04:37:58.416996
55.1,36667.74,24271.63,11,F,manager,east,2026-05-22 04:37:58.416996
64.4,64891.48,3403.67,12,F,engineer,west,2026-05-22 04:37:58.416996
51.8,58048.4,34133.18,10,F,manager,south,2026-05-22 04:37:58.416996
51.9,55450.58,16196.16,11,M,teacher,south,2026-05-22 04:37:58.416996
65.1,58148.86,28036.94,13,M,teacher,west,2026-05-23 04:37:58.416996
39.5,62487.27,15977.7,10,F,doctor,south,2026-05-23 04:37:58.416996
56.3,50915.76,929.76,11,F,teacher,east,2026-05-23 04:37:58.416996
48.9,51813.54,32621.84,10,F,engineer,north,2026-05-23 04:37:58.416996
49.4,65393.86,33548.69,10,M,doctor,east,2026-05-23 04:37:58.416996
39.4,34444.82,23672.43,13,M,engineer,south,2026-05-23 04:37:58.416996
25.3,31666.62,-3336.81,10,M,teacher,south,2026-05-23 04:37:58.416996
46.1,58221.03,31004.25,15,F,engineer,west,2026-05-23 04:37:58.416996
46.2,18824.04,13148.94,7,M,student,south,2026-05-23 04:37:58.416996
35.1,24708.89,28198.92,20,F,teacher,north,2026-05-23 04:37:58.416996
40.8,87494.44,16112.77,11,M,student,west,2026-05-23 04:37:58.416996
31.4,82889.13,17344.47,10,M,teacher,north,2026-05-23 04:37:58.416996
31.5,44726.28,27971.41,17,F,engineer,east,2026-05-23 04:37:58.416996
36.2,72985.23,12149.14,9,M,doctor,east,2026-05-23 04:37:58.416996
26.1,73608.4,19999.79,15,M,doctor,west,2026-05-23 04:37:58.416996
35.0,63479.64,28115.19,10,F,manager,east,2026-05-23 04:37:58.416996
50.6,53579.34,47997.39,8,F,teacher,west,2026-05-23 04:37:58.416996
59.5,66276.07,21106.37,18,F,teacher,east,2026-05-23 04:37:58.416996
66.9,69363.79,32073.87,16,F,engineer,south,2026-05-23 04:37:58.416996
37.2,66557.97,7938.3,8,F,student,east,2026-05-23 04:37:58.416996
56.4,27111.98,42335.59,17,M,manager,east,2026-05-23 04:37:58.416996
46.0,91595.22,12303.54,9,M,manager,south,2026-05-23 04:37:58.416996
39.2,98259.9,20413.7,9,M,engineer,north,2026-05-23 04:37:58.416996
46.8,20634.5,28134.58,16,M,manager,east,2026-05-23 04:37:58.416996
55.2,64197.4,12641.03,16,M,manager,west,2026-05-23 04:37:58.416996
36.0,91823.0,34970.9,11,F,teacher,east,2026-05-23 04:37:58.416996
35.7,73041.07,14058.31,14,M,engineer,east,2026-05-23 04:37:58.416996
37.1,73232.79,31967.49,13,M,manager,north,2026-05-23 04:37:58.416996
34.5,29106.67,34812.42,12,M,manager,south,2026-05-23 04:37:58.416996
56.4,69239.71,28941.15,13,M,doctor,east,2026-05-23 04:37:58.416996
32.8,59305.54,30501.17,12,M,engineer,north,2026-05-23 04:37:58.416996
34.9,69037.33,52370.49,11,F,teacher,east,2026-05-23 04:37:58.416996
45.7,36360.52,26998.53,11,F,manager,north,2026-05-23 04:37:58.416996
44.8,35713.17,23318.07,18,F,manager,south,2026-05-23 04:37:58.416996
37.1,52433.94,26034.8,13,F,doctor,south,2026-05-23 04:37:58.416996
62.2,48174.64,37255.92,11,F,manager,north,2026-05-23 04:37:58.416996
34.4,52166.13,49951.3,13,M,manager,east,2026-05-23 04:37:58.416996
39.9,46368.43,20002.41,14,F,teacher,south,2026-05-23 04:37:58.416996
18.9,51381.69,11051.45,9,M,engineer,north,2026-05-23 04:37:58.416996
38.3,43010.24,35950.59,11,M,engineer,south,2026-05-23 04:37:58.416996
26.1,54131.04,5642.94,15,M,teacher,east,2026-05-23 04:37:58.416996
31.0,29375.86,25093.11,11,M,student,north,2026-05-23 04:37:58.416996
18.5,64253.9,25655.5,10,F,engineer,east,2026-05-23 04:37:58.416996
31.3,59689.78,20711.95,16,F,student,south,2026-05-23 04:37:58.416996
41.1,32287.09,21417.52,9,M,engineer,south,2026-05-23 04:37:58.416996
39.1,78874.46,2170.08,12,F,teacher,east,2026-05-23 04:37:58.416996
37.0,40116.7,11580.62,15,F,engineer,south,2026-05-23 04:37:58.416996
38.1,76401.12,33245.09,10,F,engineer,south,2026-05-23 04:37:58.416996
35.9,60929.64,-2495.23,7,F,engineer,west,2026-05-23 04:37:58.416996
41.6,73010.13,20968.07,15,F,teacher,west,2026-05-23 04:37:58.416996
40.7,58171.41,18249.21,16,M,doctor,south,2026-05-23 04:37:58.416996
45.3,65203.08,-1909.26,17,M,engineer,north,2026-05-23 04:37:58.416996
39.6,72812.87,42308.52,5,M,student,east,2026-05-23 04:37:58.416996
36.8,89329.42,9636.78,15,F,doctor,east,2026-05-23 04:37:58.416996
51.3,74343.26,28587.12,14,F,student,east,2026-05-23 04:37:58.416996
49.2,63068.12,16373.23,7,F,engineer,east,2026-05-23 04:37:58.416996
41.6,30726.77,11861.68,11,M,engineer,east,2026-05-23 04:37:58.416996
56.3,11514.98,19168.23,15,F,manager,west,2026-05-23 04:37:58.416996
43.0,52652.61,17723.75,14,M,doctor,west,2026-05-23 04:37:58.416996
40.1,42139.33,19759.2,15,F,student,north,2026-05-23 04:37:58.416996
41.2,42800.97,12556.58,17,F,engineer,south,2026-05-23 04:37:58.416996
44.0,53516.23,9832.19,11,F,engineer,south,2026-05-23 04:37:58.416996
31.0,66930.29,34053.48,10,M,student,south,2026-05-23 04:37:58.416996
19.5,43823.88,22083.23,14,M,manager,west,2026-05-23 04:37:58.416996
45.4,71113.46,21276.24,11,M,manager,south,2026-05-23 04:37:58.416996
52.0,55602.88,11302.26,9,M,teacher,east,2026-05-23 04:37:58.416996
30.0,55677.02,40892.79,14,M,engineer,west,2026-05-23 04:37:58.416996
54.9,88749.94,20950.86,10,F,teacher,north,2026-05-23 04:37:58.416996
22.2,58205.97,-748.51,12,M,student,west,2026-05-23 04:37:58.416996
35.3,54025.44,25309.88,5,M,student,east,2026-05-23 04:37:58.416996
62.5,64430.24,12829.67,9,M,engineer,south,2026-05-23 04:37:58.416996
46.3,87348.61,32930.01,15,M,engineer,south,2026-05-23 04:37:58.416996
38.4,54158.61,34461.18,9,F,teacher,south,2026-05-23 04:37:58.416996
45.0,62915.64,33075.21,17,M,manager,south,2026-05-23 04:37:58.416996
56.4,53050.85,16463.12,12,F,manager,east,2026-05-23 04:37:58.416996
24.7,53145.27,20645.22,9,F,engineer,west,2026-05-23 04:37:58.416996
57.8,46178.34,24983.27,7,F,doctor,north,2026-05-23 04:37:58.416996
36.1,44918.49,32711.94,10,F,doctor,south,2026-05-23 04:37:58.416996
50.5,85529.04,9546.96,8,F,teacher,south,2026-05-23 04:37:58.416996
34.6,45031.01,23121.11,14,M,doctor,west,2026-05-23 04:37:58.416996
62.2,27268.46,44415.08,15,F,teacher,east,2026-05-23 04:37:58.416996
41.6,57257.32,15575.28,14,M,doctor,south,2026-05-23 04:37:58.416996
26.1,73320.71,21687.15,10,F,manager,west,2026-05-23 04:37:58.416996
47.6,77365.29,53361.85,10,F,engineer,west,2026-05-23 04:37:58.416996
57.6,33499.63,19105.16,10,F,student,south,2026-05-23 04:37:58.416996
56.3,75029.61,3534.47,11,F,engineer,north,2026-05-23 04:37:58.416996
43.1,92060.9,21311.43,18,M,teacher,south,2026-05-23 04:37:58.416996
51.7,42685.22,42075.15,15,F,teacher,south,2026-05-23 04:37:58.416996
36.9,51866.82,34680.58,10,F,engineer,south,2026-05-23 04:37:58.416996
49.1,32832.0,10243.71,15,M,doctor,north,2026-05-23 04:37:58.416996
46.4,88366.59,26984.74,9,M,student,west,2026-05-23 04:37:58.416996
7.3,28137.04,19889.86,12,M,student,north,2026-05-23 04:37:58.416996
30.0,47803.81,31744.4,14,M,teacher,south,2026-05-23 04:37:58.416996
44.5,69124.39,14615.23,14,M,doctor,north,2026-05-24 04:37:58.416996
44.0,42687.77,27934.21,21,F,manager,south,2026-05-24 04:37:58.416996
41.7,37195.91,44923.03,8,F,teacher,east,2026-05-24 04:37:58.416996
43.1,54059.66,-9348.4,10,M,doctor,south,2026-05-24 04:37:58.416996
56.5,98022.81,29114.71,11,M,teacher,west,2026-05-24 04:37:58.416996
46.2,50391.99,37828.8,14,M,teacher,north,2026-05-24 04:37:58.416996
14.0,51272.7,3323.96,11,F,engineer,north,2026-05-24 04:37:58.416996
65.4,34919.93,13352.84,19,F,teacher,east,2026-05-24 04:37:58.416996
19.1,61931.72,17275.56,15,M,engineer,west,2026-05-24 04:37:58.416996
53.5,70907.02,13229.08,16,M,teacher,west,2026-05-24 04:37:58.416996
23.2,44086.53,12330.24,10,M,teacher,east,2026-05-24 04:37:58.416996
59.1,64643.17,17503.08,18,M,teacher,west,2026-05-24 04:37:58.416996
38.7,44226.5,32220.34,18,M,student,west,2026-05-24 04:37:58.416996
46.6,20913.01,39851.83,17,F,manager,north,2026-05-24 04:37:58.416996
18.2,63232.56,37631.85,21,M,student,west,2026-05-24 04:37:58.416996
50.8,92338.89,33925.61,7,M,doctor,south,2026-05-24 04:37:58.416996
47.0,33473.87,43985.38,10,F,manager,south,2026-05-24 04:37:58.416996
49.4,58228.84,46375.93,11,F,manager,north,2026-05-24 04:37:58.416996
53.4,78575.59,23992.71,8,F,manager,east,2026-05-24 04:37:58.416996
44.1,53164.26,39171.58,9,M,manager,east,2026-05-24 04:37:58.416996
39.5,29316.99,27087.03,8,F,teacher,east,2026-05-24 04:37:58.416996
32.3,55809.25,19405.13,14,M,doctor,south,2026-05-24 04:37:58.416996
36.7,81826.48,21402.78,11,M,engineer,north,2026-05-24 04:37:58.416996
56.5,45882.38,34150.21,12,M,manager,south,2026-05-24 04:37:58.416996
31.9,59180.37,39587.09,8,M,doctor,south,2026-05-24 04:37:58.416996
19.9,36036.5,28965.45,15,M,manager,east,2026-05-24 04:37:58.416996
30.1,53209.49,17247.55,11,M,student,south,2026-05-24 04:37:58.416996
49.3,61960.45,16126.25,14,F,engineer,north,2026-05-24 04:37:58.416996
38.4,57265.35,-239.41,17,F,manager,south,2026-05-24 04:37:58.416996
49.3,47233.05,26331.21,10,F,student,east,2026-05-24 04:37:58.416996
18.0,62973.87,25514.71,17,F,student,south,2026-05-24 04:37:58.416996
6.2,67050.96,9464.35,13,F,manager,north,2026-05-24 04:37:58.416996
45.2,68240.78,27677.26,11,M,engineer,south,2026-05-24 04:37:58.416996
54.1,49727.28,27476.0,16,M,teacher,west,2026-05-24 04:37:58.416996
21.5,43821.84,4195.45,5,F,engineer,west,2026-05-24 04:37:58.416996
48.3,90336.14,18139.07,11,M,student,east,2026-05-24 04:37:58.416996
56.3,57477.23,38908.55,12,M,manager,east,2026-05-24 04:37:58.416996
41.9,50365.23,14401.83,4,M,doctor,south,2026-05-24 04:37:58.416996
52.8,28412.52,22211.7,11,M,student,south,2026-05-24 04:37:58.416996
44.3,38215.35,23925.48,16,M,engineer,east,2026-05-24 04:37:58.416996
38.8,43438.27,21683.97,12,F,manager,east,2026-05-24 04:37:58.416996
51.9,62909.44,30264.45,8,F,manager,north,2026-05-24 04:37:58.416996
65.0,48587.91,33222.66,10,F,teacher,south,2026-05-24 04:37:58.416996
35.3,55273.55,37174.99,12,F,teacher,north,2026-05-24 04:37:58.416996
40.9,29201.5,18238.02,6,M,engineer,east,2026-05-24 04:37:58.416996
30.1,80279.72,28286.4,11,F,manager,east,2026-05-24 04:37:58.416996
43.9,41725.18,32077.95,11,M,teacher,west,2026-05-24 04:37:58.416996
40.1,59232.21,20580.0,11,M,engineer,east,2026-05-24 04:37:58.416996
55.9,45449.92,13370.06,11,M,student,north,2026-05-24 04:37:58.416996
59.0,49273.62,23722.94,14,M,doctor,west,2026-05-24 04:37:58.416996
51.5,40707.18,14731.22,10,M,manager,south,2026-05-24 04:37:58.416996
54.6,60333.46,13549.26,6,M,engineer,west,2026-05-24 04:37:58.416996
33.5,37353.84,24641.61,11,F,engineer,south,2026-05-24 04:37:58.416996
30.5,60656.58,19740.2,14,M,student,south,2026-05-24 04:37:58.416996
47.2,52861.14,24106.26,11,M,doctor,east,2026-05-24 04:37:58.416996
42.2,66340.36,3385.28,15,F,teacher,north,2026-05-24 04:37:58.416996
66.0,68116.27,19893.43,14,M,doctor,west,2026-05-24 04:37:58.416996
18.9,49283.55,-5123.18,10,F,engineer,east,2026-05-24 04:37:58.416996
49.4,61588.57,9454.36,9,M,student,north,2026-05-24 04:37:58.416996
49.2,46930.92,20932.8,11,F,engineer,north,2026-05-24 04:37:58.416996
32.9,78689.4,36557.47,13,M,engineer,east,2026-05-24 04:37:58.416996
30.4,48538.36,28442.21,15,F,student,north,2026-05-24 04:37:58.416996
37.9,51368.01,23083.32,13,M,teacher,south,2026-05-24 04:37:58.416996
22.3,46561.43,17479.06,13,M,student,east,2026-05-24 04:37:58.416996
59.5,41804.63,18992.89,14,F,manager,south,2026-05-24 04:37:58.416996
74.4,91606.56,37669.35,8,M,teacher,north,2026-05-24 04:37:58.416996
37.9,63755.41,8723.82,9,M,teacher,south,2026-05-24 04:37:58.416996
34.3,56225.57,13293.54,10,F,manager,south,2026-05-24 04:37:58.416996
26.3,46428.02,34801.06,17,M,doctor,north,2026-05-24 04:37:58.416996
28.8,75036.01,17872.87,15,M,teacher,south,2026-05-24 04:37:58.416996
34.9,45178.47,45269.03,14,F,student,south,2026-05-24 04:37:58.416996
56.5,57174.03,30288.4,12,M,manager,north,2026-05-24 04:37:58.416996
80.3,94653.13,35859.48,16,F,student,west,2026-05-24 04:37:58.416996
33.3,37769.45,2492.47,11,F,teacher,east,2026-05-24 04:37:58.416996
31.2,64712.34,34713.12,11,F,engineer,south,2026-05-24 04:37:58.416996
28.0,60193.81,11807.32,11,F,student,south,2026-05-24 04:37:58.416996
47.4,64506.87,30589.17,13,M,manager,west,2026-05-24 04:37:58.416996
46.1,49871.74,17635.58,10,M,manager,south,2026-05-24 04:37:58.416996
43.2,44339.4,24673.64,9,F,doctor,west,2026-05-24 04:37:58.416996
36.7,59076.87,8725.24,16,M,teacher,east,2026-05-24 04:37:58.416996
58.3,46791.47,1353.04,5,M,teacher,north,2026-05-24 04:37:58.416996
51.2,13030.52,23806.68,15,M,manager,west,2026-05-24 04:37:58.416996
50.7,40159.61,18474.4,13,M,manager,east,2026-05-24 04:37:58.416996
46.4,49299.99,11274.45,12,F,student,east,2026-05-24 04:37:58.416996
39.7,35598.72,1815.4,16,F,engineer,south,2026-05-24 04:37:58.416996
33.4,57717.76,-10100.65,7,F,teacher,north,2026-05-24 04:37:58.416996
48.2,41363.27,28282.71,13,M,manager,south,2026-05-24 04:37:58.416996
47.1,54218.1,18939.22,8,F,manager,north,2026-05-24 04:37:58.416996
48.8,94021.71,14753.62,12,F,engineer,south,2026-05-24 04:37:58.416996
23.2,77086.05,24553.74,12,M,engineer,north,2026-05-24 04:37:58.416996
46.1,65646.85,34172.85,11,F,teacher,west,2026-05-24 04:37:58.416996
38.3,87566.12,25234.8,9,M,engineer,north,2026-05-24 04:37:58.416996
31.5,53693.45,16682.45,17,F,manager,east,2026-05-24 04:37:58.416996
50.7,53876.66,47589.86,9,F,manager,west,2026-05-24 04:37:58.416996
44.1,35999.27,14370.97,13,M,student,north,2026-05-24 04:37:58.416996
70.2,78006.79,5084.43,8,M,teacher,south,2026-05-24 04:37:58.416996
47.8,90225.87,23197.79,17,M,manager,east,2026-05-24 04:37:58.416996
38.4,71333.37,18933.27,14,M,student,east,2026-05-24 04:37:58.416996
40.7,80620.95,33365.13,10,F,student,north,2026-05-24 04:37:58.416996
27.9,5727.93,15684.54,9,M,engineer,north,2026-05-24 04:37:58.416996
56.8,97114.53,20018.15,10,F,engineer,north,2026-05-24 04:37:58.416996
45.8,53121.82,11610.79,12,F,student,east,2026-05-24 04:37:58.416996
46.0,97407.43,31691.9,18,M,doctor,north,2026-05-24 04:37:58.416996
29.2,86169.71,23722.84,7,F,manager,east,2026-05-24 04:37:58.416996
51.3,68903.66,18697.78,16,M,student,south,2026-05-24 04:37:58.416996
30.8,48825.36,20200.12,12,M,teacher,east,2026-05-24 04:37:58.416996
35.4,57848.3,21744.27,17,F,teacher,east,2026-05-24 04:37:58.416996
43.5,20619.56,4751.67,11,M,engineer,east,2026-05-24 04:37:58.416996
35.0,71754.39,35952.5,7,F,student,north,2026-05-24 04:37:58.416996
32.5,9009.91,35248.34,13,F,manager,west,2026-05-24 04:37:58.416996
41.4,49623.6,22488.16,15,F,engineer,east,2026-05-24 04:37:58.416996
54.1,82778.27,21205.71,13,F,doctor,west,2026-05-24 04:37:58.416996
52.7,67973.05,10040.1,6,F,teacher,east,2026-05-24 04:37:58.416996
50.5,27461.53,42728.02,10,M,engineer,south,2026-05-24 04:37:58.416996
47.8,30874.5,39825.45,8,F,engineer,east,2026-05-24 04:37:58.416996
36.3,44246.16,26732.74,7,M,doctor,south,2026-05-25 04:37:58.416996
55.5,56410.76,31840.58,19,M,doctor,north,2026-05-25 04:37:58.416996
21.2,70777.91,36765.77,11,M,manager,north,2026-05-25 04:37:58.416996
47.2,65874.49,34329.64,19,M,engineer,west,2026-05-25 04:37:58.416996
52.1,35942.42,11725.66,7,F,student,west,2026-05-25 04:37:58.416996
40.9,66137.19,18266.48,14,M,doctor,west,2026-05-25 04:37:58.416996
33.3,68056.07,27618.19,12,M,engineer,west,2026-05-25 04:37:58.416996
41.6,63793.36,24439.9,15,M,teacher,west,2026-05-25 04:37:58.416996
32.9,99607.32,31036.71,14,M,student,east,2026-05-25 04:37:58.416996
48.2,68073.74,29724.7,11,M,teacher,north,2026-05-25 04:37:58.416996
53.3,72420.81,24963.66,26,M,student,east,2026-05-25 04:37:58.416996
47.4,88765.45,-9244.84,16,M,engineer,south,2026-05-25 04:37:58.416996
46.6,70302.11,36074.04,6,F,student,south,2026-05-25 04:37:58.416996
51.1,45081.0,32068.43,14,M,teacher,east,2026-05-25 04:37:58.416996
52.5,77368.65,46830.57,13,F,student,north,2026-05-25 04:37:58.416996
32.7,47774.9,16270.03,9,M,student,north,2026-05-25 04:37:58.416996
23.5,37313.05,-114.87,13,M,manager,east,2026-05-25 04:37:58.416996
45.3,38854.4,19834.62,13,F,manager,south,2026-05-25 04:37:58.416996
53.1,77164.28,27480.16,14,M,engineer,south,2026-05-25 04:37:58.416996
23.0,66164.42,16695.53,12,F,manager,south,2026-05-25 04:37:58.416996
42.8,74095.05,38461.52,12,F,doctor,east,2026-05-25 04:37:58.416996
55.5,66251.64,14078.33,13,M,teacher,north,2026-05-25 04:37:58.416996
40.6,58399.25,20789.38,18,F,doctor,east,2026-05-25 04:37:58.416996
60.3,60724.21,19048.12,11,F,student,west,2026-05-25 04:37:58.416996
58.0,65639.41,55291.74,18,M,engineer,west,2026-05-25 04:37:58.416996
39.8,44155.18,11127.07,14,F,teacher,west,2026-05-25 04:37:58.416996
37.6,31774.6,29004.78,7,F,teacher,west,2026-05-25 04:37:58.416996
37.8,46267.93,7585.51,9,M,student,south,2026-05-25 04:37:58.416996
43.6,64794.22,26115.58,12,F,student,east,2026-05-25 04:37:58.416996
27.9,43338.93,10546.39,10,M,doctor,south,2026-05-25 04:37:58.416996
25.7,93333.1,35199.33,9,M,doctor,south,2026-05-25 04:37:58.416996
14.7,62942.74,32897.54,13,M,student,east,2026-05-25 04:37:58.416996
41.7,57150.77,25258.24,16,M,engineer,south,2026-05-25 04:37:58.416996
66.5,44085.93,5302.85,14,M,doctor,north,2026-05-25 04:37:58.416996
18.1,71483.27,21361.55,15,F,engineer,east,2026-05-25 04:37:58.416996
39.8,33185.04,18350.35,10,F,student,south,2026-05-25 04:37:58.416996
39.4,60683.89,31964.71,19,F,teacher,south,2026-05-25 04:37:58.416996
40.2,47160.47,11170.14,17,F,doctor,west,2026-05-25 04:37:58.416996
57.1,57176.73,35860.74,16,F,teacher,north,2026-05-25 04:37:58.416996
31.3,63752.92,33608.64,11,M,student,east,2026-05-25 04:37:58.416996
18.6,34378.08,5507.19,17,M,student,south,2026-05-25 04:37:58.416996
35.6,24923.22,19364.76,16,F,engineer,west,2026-05-25 04:37:58.416996
34.0,38230.25,21383.97,14,M,manager,south,2026-05-25 04:37:58.416996
15.2,70826.35,34071.37,15,M,teacher,south,2026-05-25 04:37:58.416996
44.9,61716.4,13758.15,13,M,engineer,south,2026-05-25 04:37:58.416996
27.8,47747.78,24491.25,9,M,teacher,west,2026-05-25 04:37:58.416996
41.0,90426.65,35188.7,10,F,student,north,2026-05-25 04:37:58.416996
37.6,78131.77,25015.23,18,M,teacher,east,2026-05-25 04:37:58.416996
29.1,73782.32,-287.85,12,M,teacher,south,2026-05-25 04:37:58.416996
52.7,41964.3,16065.75,9,M,manager,west,2026-05-25 04:37:58.416996
38.6,73582.26,32850.79,10,F,student,south,2026-05-25 04:37:58.416996
42.7,61132.75,31352.51,8,M,teacher,south,2026-05-25 04:37:58.416996
49.0,41999.23,-4992.69,11,M,teacher,east,2026-05-25 04:37:58.416996
45.5,53126.19,24408.85,15,F,manager,east,2026-05-25 04:37:58.416996
43.7,36308.18,33352.05,14,F,engineer,east,2026-05-25 04:37:58.416996
32.1,42157.28,28467.09,12,F,teacher,south,2026-05-25 04:37:58.416996
28.7,34404.84,29842.9,6,M,engineer,east,2026-05-25 04:37:58.416996
43.9,72217.97,46747.8,12,F,teacher,north,2026-05-25 04:37:58.416996
30.5,53723.34,21478.56,7,M,teacher,west,2026-05-25 04:37:58.416996
51.5,38051.22,25657.32,9,F,manager,south,2026-05-25 04:37:58.416996
40.4,64312.74,10726.05,11,M,teacher,south,2026-05-25 04:37:58.416996
49.8,55027.06,14383.95,16,F,student,west,2026-05-25 04:37:58.416996
30.2,73909.1,18016.31,12,F,student,south,2026-05-25 04:37:58.416996
28.3,57400.06,32196.71,10,F,engineer,west,2026-05-25 04:37:58.416996
62.1,29130.62,13028.69,7,M,teacher,east,2026-05-25 04:37:58.416996
40.2,46058.61,36815.48,7,M,teacher,east,2026-05-25 04:37:58.416996
53.0,34170.49,8882.01,9,F,teacher,north,2026-05-25 04:37:58.416996
25.1,65134.14,29675.26,16,M,teacher,east,2026-05-25 04:37:58.416996
